level,name,year,tenure,hhlds,value,change_from_prev_data_year
2_counties,Windham County,2018,owner,p4_or_more,6509,-1445
2_counties,Fairfield County,2018,renter,p4_or_more,25656,4998
2_counties,Hartford County,2018,renter,p4_or_more,21047,1206
2_counties,Litchfield County,2018,renter,p4_or_more,2622,321
2_counties,Middlesex County,2018,renter,p4_or_more,2167,127
2_counties,New Haven County,2018,renter,p4_or_more,19077,-187
2_counties,New London County,2018,renter,p4_or_more,5586,160
2_counties,Tolland County,2018,renter,p4_or_more,2058,484
2_counties,Windham County,2018,renter,p4_or_more,2776,235
2_counties,Fairfield County,2018,owner,total,229169,-5250
2_counties,Hartford County,2018,owner,total,225112,-5954
2_counties,Litchfield County,2018,owner,total,57079,-3266
2_counties,Middlesex County,2018,owner,total,49262,-1534
2_counties,New Haven County,2018,owner,total,204295,-11836
2_counties,New London County,2018,owner,total,71459,-2787
2_counties,Tolland County,2018,owner,total,39798,-1817
2_counties,Windham County,2018,owner,total,30960,-406
2_counties,Fairfield County,2018,renter,total,111322,13959
2_counties,Hartford County,2018,renter,total,123952,7393
2_counties,Litchfield County,2018,renter,total,16908,565
2_counties,Middlesex County,2018,renter,total,17630,1451
2_counties,New Haven County,2018,renter,total,125562,10908
2_counties,New London County,2018,renter,total,35943,3599
2_counties,Tolland County,2018,renter,total,15434,2597
2_counties,Windham County,2018,renter,total,13489,534
2_counties,Fairfield County,2018,total,total,340491,8709
2_counties,Hartford County,2018,total,total,349064,1439
2_counties,Litchfield County,2018,total,total,73987,-2701
2_counties,Middlesex County,2018,total,total,66892,-83
2_counties,New Haven County,2018,total,total,329857,-928
2_counties,New London County,2018,total,total,107402,812
2_counties,Tolland County,2018,total,total,55232,780
2_counties,Windham County,2018,total,total,44449,128
3_towns,Andover,2000,owner,p1,146,0
3_towns,Ansonia,2000,owner,p1,897,727
3_towns,Ashford,2000,owner,p1,184,-1086
3_towns,Avon,2000,owner,p1,1015,727
3_towns,Barkhamsted,2000,owner,p1,149,-969
3_towns,Beacon Falls,2000,owner,p1,280,124
3_towns,Berlin,2000,owner,p1,1047,543
3_towns,Bethany,2000,owner,p1,192,-1228
3_towns,Bethel,2000,owner,p1,692,478
3_towns,Bethlehem,2000,owner,p1,158,-1028
3_towns,Bloomfield,2000,owner,p1,1351,1099
3_towns,Bolton,2000,owner,p1,236,-1408
3_towns,Bozrah,2000,owner,p1,106,-144
