name,year,tenure,commute_time,commuters,tenuer.x,tenuer.y,share
Middlesex County,2000,Owner,More than 120 mins,632,Owner,Owner,0.011
Middlesex County,2000,Renter,Total,17569,NA,NA,NA
Middlesex County,2000,Renter,Up to 15 mins,5544,Renter,Renter,0.316
Middlesex County,2000,Renter,16 to 30 mins,6811,Renter,Renter,0.388
Middlesex County,2000,Renter,31 to 60 mins,4303,Renter,Renter,0.245
Middlesex County,2000,Renter,61 to 120 mins,743,Renter,Renter,0.042
Middlesex County,2000,Renter,More than 120 mins,168,Renter,Renter,0.01
Middlesex County,2010,Owner,Total,63896,NA,NA,NA
Middlesex County,2010,Owner,Up to 15 mins,16876,Owner,Owner,0.264
Middlesex County,2010,Owner,16 to 30 mins,21839,Owner,Owner,0.342
Middlesex County,2010,Owner,31 to 60 mins,21517,Owner,Owner,0.337
Middlesex County,2010,Owner,61 to 120 mins,3200,Owner,Owner,0.05
Middlesex County,2010,Owner,More than 120 mins,464,Owner,Owner,0.007
Middlesex County,2010,Renter,Total,15551,NA,NA,NA
Middlesex County,2010,Renter,Up to 15 mins,6094,Renter,Renter,0.392
Middlesex County,2010,Renter,16 to 30 mins,5692,Renter,Renter,0.366
Middlesex County,2010,Renter,31 to 60 mins,3036,Renter,Renter,0.195
Middlesex County,2010,Renter,61 to 120 mins,566,Renter,Renter,0.036
Middlesex County,2010,Renter,More than 120 mins,163,Renter,Renter,0.01
Middlesex County,2018,Owner,Total,64169,NA,NA,NA
Middlesex County,2018,Owner,Up to 15 mins,16448,Owner,Owner,0.256
Middlesex County,2018,Owner,16 to 30 mins,21356,Owner,Owner,0.333
Middlesex County,2018,Owner,31 to 60 mins,22047,Owner,Owner,0.344
Middlesex County,2018,Owner,61 to 120 mins,3701,Owner,Owner,0.058
Middlesex County,2018,Owner,More than 120 mins,617,Owner,Owner,0.01
Middlesex County,2018,Renter,Total,17522,NA,NA,NA
Middlesex County,2018,Renter,Up to 15 mins,5540,Renter,Renter,0.316
Middlesex County,2018,Renter,16 to 30 mins,6436,Renter,Renter,0.367
Middlesex County,2018,Renter,31 to 60 mins,4747,Renter,Renter,0.271
Middlesex County,2018,Renter,61 to 120 mins,706,Renter,Renter,0.04
Middlesex County,2018,Renter,More than 120 mins,93,Renter,Renter,0.005
New Haven County,2000,Owner,Total,269177,NA,NA,NA
New Haven County,2000,Owner,Up to 15 mins,81821,Owner,Owner,0.304
New Haven County,2000,Owner,16 to 30 mins,108604,Owner,Owner,0.403
New Haven County,2000,Owner,31 to 60 mins,63073,Owner,Owner,0.234
New Haven County,2000,Owner,61 to 120 mins,12167,Owner,Owner,0.045
New Haven County,2000,Owner,More than 120 mins,3512,Owner,Owner,0.013
New Haven County,2000,Renter,Total,104299,NA,NA,NA
New Haven County,2000,Renter,Up to 15 mins,33647,Renter,Renter,0.323
New Haven County,2000,Renter,16 to 30 mins,43438,Renter,Renter,0.416
New Haven County,2000,Renter,31 to 60 mins,20963,Renter,Renter,0.201
New Haven County,2000,Renter,61 to 120 mins,5047,Renter,Renter,0.048
New Haven County,2000,Renter,More than 120 mins,1204,Renter,Renter,0.012
New Haven County,2010,Owner,Total,290133,NA,NA,NA
New Haven County,2010,Owner,Up to 15 mins,82039,Owner,Owner,0.283
New Haven County,2010,Owner,16 to 30 mins,113743,Owner,Owner,0.392
New Haven County,2010,Owner,31 to 60 mins,74977,Owner,Owner,0.258
New Haven County,2010,Owner,61 to 120 mins,16450,Owner,Owner,0.057
New Haven County,2010,Owner,More than 120 mins,2924,Owner,Owner,0.01
New Haven County,2010,Renter,Total,108584,NA,NA,NA
New Haven County,2010,Renter,Up to 15 mins,33704,Renter,Renter,0.31
New Haven County,2010,Renter,16 to 30 mins,45355,Renter,Renter,0.418
New Haven County,2010,Renter,31 to 60 mins,23275,Renter,Renter,0.214
New Haven County,2010,Renter,61 to 120 mins,5358,Renter,Renter,0.049
New Haven County,2010,Renter,More than 120 mins,892,Renter,Renter,0.008
New Haven County,2018,Owner,Total,270838,NA,NA,NA
New Haven County,2018,Owner,Up to 15 mins,69671,Owner,Owner,0.257
New Haven County,2018,Owner,16 to 30 mins,105563,Owner,Owner,0.39
New Haven County,2018,Owner,31 to 60 mins,76245,Owner,Owner,0.282
New Haven County,2018,Owner,61 to 120 mins,16253,Owner,Owner,0.06
New Haven County,2018,Owner,More than 120 mins,3106,Owner,Owner,0.011
New Haven County,2018,Renter,Total,124293,NA,NA,NA
New Haven County,2018,Renter,Up to 15 mins,34267,Renter,Renter,0.276
New Haven County,2018,Renter,16 to 30 mins,51253,Renter,Renter,0.412
New Haven County,2018,Renter,31 to 60 mins,28806,Renter,Renter,0.232
New Haven County,2018,Renter,61 to 120 mins,9050,Renter,Renter,0.073
