level,name,year,tenure,hhlds,value,share
3_towns,Branford,2000,owner,total,8601,NA
3_towns,Branford,2000,owner,1-person,2244,0.261
3_towns,Branford,2000,owner,2-person,3174,0.369
3_towns,Branford,2000,owner,3-person,1414,0.164
3_towns,Branford,2000,owner,4-person or more,1769,0.206
3_towns,Branford,2010,owner,total,8700,NA
3_towns,Branford,2010,owner,1-person,2279,0.262
3_towns,Branford,2010,owner,2-person,3399,0.391
3_towns,Branford,2010,owner,3-person,1362,0.157
3_towns,Branford,2010,owner,4-person or more,1660,0.191
3_towns,Branford,2018,owner,total,8724,NA
3_towns,Branford,2018,owner,1-person,2576,0.295
3_towns,Branford,2018,owner,2-person,3572,0.409
3_towns,Branford,2018,owner,3-person,1363,0.156
3_towns,Branford,2018,owner,4-person or more,1213,0.139
3_towns,Bridgeport,2000,owner,total,21755,NA
3_towns,Bridgeport,2000,owner,1-person,5644,0.259
3_towns,Bridgeport,2000,owner,2-person,6233,0.287
3_towns,Bridgeport,2000,owner,3-person,3618,0.166
3_towns,Bridgeport,2000,owner,4-person or more,6260,0.288
3_towns,Bridgeport,2010,owner,total,23654,NA
3_towns,Bridgeport,2010,owner,1-person,6651,0.281
3_towns,Bridgeport,2010,owner,2-person,6095,0.258
3_towns,Bridgeport,2010,owner,3-person,3955,0.167
3_towns,Bridgeport,2010,owner,4-person or more,6953,0.294
3_towns,Bridgeport,2018,owner,total,21114,NA
3_towns,Bridgeport,2018,owner,1-person,5159,0.244
3_towns,Bridgeport,2018,owner,2-person,5876,0.278
3_towns,Bridgeport,2018,owner,3-person,3805,0.18
3_towns,Bridgeport,2018,owner,4-person or more,6274,0.297
3_towns,Bridgewater,2000,owner,total,633,NA
3_towns,Bridgewater,2000,owner,1-person,119,0.188
3_towns,Bridgewater,2000,owner,2-person,252,0.398
3_towns,Bridgewater,2000,owner,3-person,95,0.15
3_towns,Bridgewater,2000,owner,4-person or more,167,0.264
3_towns,Bridgewater,2010,owner,total,648,NA
3_towns,Bridgewater,2010,owner,1-person,122,0.188
3_towns,Bridgewater,2010,owner,2-person,317,0.489
3_towns,Bridgewater,2010,owner,3-person,71,0.11
3_towns,Bridgewater,2010,owner,4-person or more,138,0.213
3_towns,Bridgewater,2018,owner,total,630,NA
3_towns,Bridgewater,2018,owner,1-person,127,0.202
3_towns,Bridgewater,2018,owner,2-person,326,0.517
3_towns,Bridgewater,2018,owner,3-person,62,0.098
3_towns,Bridgewater,2018,owner,4-person or more,115,0.183
3_towns,Bristol,2000,owner,total,15410,NA
