year,level,geoid,name,county,age,measure,estimate
2007,1_state,09,Connecticut,NA,10_to_14_years,pop_change_from_prev_data_year,-2193
2007,1_state,09,Connecticut,NA,15_to_19_years,pop_change_from_prev_data_year,1724
2007,1_state,09,Connecticut,NA,20_to_24_years,pop_change_from_prev_data_year,2969
2007,1_state,09,Connecticut,NA,25_to_29_years,pop_change_from_prev_data_year,3243
2007,1_state,09,Connecticut,NA,30_to_34_years,pop_change_from_prev_data_year,-3880
2007,1_state,09,Connecticut,NA,35_to_39_years,pop_change_from_prev_data_year,-5808
2007,1_state,09,Connecticut,NA,40_to_44_years,pop_change_from_prev_data_year,-7359
2007,1_state,09,Connecticut,NA,45_to_49_years,pop_change_from_prev_data_year,956
2007,1_state,09,Connecticut,NA,50_to_54_years,pop_change_from_prev_data_year,7705
2007,1_state,09,Connecticut,NA,55_to_59_years,pop_change_from_prev_data_year,-3317
2007,1_state,09,Connecticut,NA,60_to_64_years,pop_change_from_prev_data_year,14585
2007,1_state,09,Connecticut,NA,65_to_69_years,pop_change_from_prev_data_year,5914
2007,1_state,09,Connecticut,NA,70_to_74_years,pop_change_from_prev_data_year,-521
2007,1_state,09,Connecticut,NA,75_to_79_years,pop_change_from_prev_data_year,-1863
2007,1_state,09,Connecticut,NA,80_to_84_years,pop_change_from_prev_data_year,-305
2007,1_state,09,Connecticut,NA,85_years_and_over,pop_change_from_prev_data_year,2040
2008,1_state,09,Connecticut,NA,total_pop,pop_change_from_prev_data_year,18309
2008,1_state,09,Connecticut,NA,under_5_years,pop_change_from_prev_data_year,-1790
2008,1_state,09,Connecticut,NA,5_to_9_years,pop_change_from_prev_data_year,-272
2008,1_state,09,Connecticut,NA,10_to_14_years,pop_change_from_prev_data_year,-2727
2008,1_state,09,Connecticut,NA,15_to_19_years,pop_change_from_prev_data_year,1001
2008,1_state,09,Connecticut,NA,20_to_24_years,pop_change_from_prev_data_year,1999
2008,1_state,09,Connecticut,NA,25_to_29_years,pop_change_from_prev_data_year,7475
2008,1_state,09,Connecticut,NA,30_to_34_years,pop_change_from_prev_data_year,-924
2008,1_state,09,Connecticut,NA,35_to_39_years,pop_change_from_prev_data_year,-7527
2008,1_state,09,Connecticut,NA,40_to_44_years,pop_change_from_prev_data_year,-5882
2008,1_state,09,Connecticut,NA,45_to_49_years,pop_change_from_prev_data_year,-1383
2008,1_state,09,Connecticut,NA,50_to_54_years,pop_change_from_prev_data_year,8309
2008,1_state,09,Connecticut,NA,55_to_59_years,pop_change_from_prev_data_year,4124
2008,1_state,09,Connecticut,NA,60_to_64_years,pop_change_from_prev_data_year,4852
2008,1_state,09,Connecticut,NA,65_to_69_years,pop_change_from_prev_data_year,10095
2008,1_state,09,Connecticut,NA,70_to_74_years,pop_change_from_prev_data_year,1097
2008,1_state,09,Connecticut,NA,75_to_79_years,pop_change_from_prev_data_year,-2254
2008,1_state,09,Connecticut,NA,80_to_84_years,pop_change_from_prev_data_year,-110
2008,1_state,09,Connecticut,NA,85_years_and_over,pop_change_from_prev_data_year,2226
2009,1_state,09,Connecticut,NA,total_pop,pop_change_from_prev_data_year,16228
2009,1_state,09,Connecticut,NA,under_5_years,pop_change_from_prev_data_year,-2335
2009,1_state,09,Connecticut,NA,5_to_9_years,pop_change_from_prev_data_year,-484
2009,1_state,09,Connecticut,NA,10_to_14_years,pop_change_from_prev_data_year,-1613
2009,1_state,09,Connecticut,NA,15_to_19_years,pop_change_from_prev_data_year,-877
2009,1_state,09,Connecticut,NA,20_to_24_years,pop_change_from_prev_data_year,4397
