level,geoid,name,year,county,var,estimate,moe,share,sharemoe
2_counties,09001,Fairfield County,2015,NA,black,97643,835,0.104,NA
2_counties,09001,Fairfield County,2015,NA,asian,47031,674,0.05,NA
2_counties,09001,Fairfield County,2015,NA,other_race,21278,1340,0.023,NA
2_counties,09001,Fairfield County,2016,NA,total_pop,941618,NA,NA,NA
2_counties,09001,Fairfield County,2016,NA,latino,175480,NA,0.186,NA
2_counties,09001,Fairfield County,2016,NA,white,598017,678,0.635,NA
2_counties,09001,Fairfield County,2016,NA,black,98457,942,0.105,NA
2_counties,09001,Fairfield County,2016,NA,asian,47323,770,0.05,NA
2_counties,09001,Fairfield County,2016,NA,other_race,22341,1378,0.024,NA
2_counties,09001,Fairfield County,2017,NA,total_pop,947328,NA,NA,NA
2_counties,09001,Fairfield County,2017,NA,latino,180379,NA,0.19,NA
2_counties,09001,Fairfield County,2017,NA,white,595323,851,0.628,NA
2_counties,09001,Fairfield County,2017,NA,black,98931,913,0.104,NA
2_counties,09001,Fairfield County,2017,NA,asian,48421,831,0.051,NA
2_counties,09001,Fairfield County,2017,NA,other_race,24274,1622,0.026,NA
2_counties,09001,Fairfield County,2018,NA,total_pop,944348,NA,NA,NA
2_counties,09001,Fairfield County,2018,NA,latino,182653,NA,0.193,NA
2_counties,09001,Fairfield County,2018,NA,white,588974,691,0.624,NA
2_counties,09001,Fairfield County,2018,NA,black,99412,934,0.105,NA
2_counties,09001,Fairfield County,2018,NA,asian,49375,830,0.052,NA
2_counties,09001,Fairfield County,2018,NA,other_race,23934,1490,0.025,NA
2_counties,09003,Hartford County,2000,NA,total_pop,857183,0,NA,NA
2_counties,09003,Hartford County,2000,NA,latino,98968,0,0.115,NA
2_counties,09003,Hartford County,2000,NA,white,625797,0,0.73,NA
2_counties,09003,Hartford County,2000,NA,black,95157,0,0.111,NA
2_counties,09003,Hartford County,2000,NA,asian,20535,0,0.024,NA
2_counties,09003,Hartford County,2000,NA,other_race,16726,0,0.02,NA
2_counties,09003,Hartford County,2001,NA,total_pop,862573,NA,NA,NA
2_counties,09003,Hartford County,2001,NA,white,626595,NA,0.726,NA
2_counties,09003,Hartford County,2001,NA,black,99271,NA,0.115,NA
2_counties,09003,Hartford County,2001,NA,latino,103371,NA,0.12,NA
2_counties,09003,Hartford County,2001,NA,asian,23002,NA,0.027,NA
2_counties,09003,Hartford County,2001,NA,other_race,10334,NA,0.012,NA
2_counties,09003,Hartford County,2002,NA,total_pop,867451,NA,NA,NA
2_counties,09003,Hartford County,2002,NA,white,624216,NA,0.72,NA
2_counties,09003,Hartford County,2002,NA,black,100974,NA,0.116,NA
2_counties,09003,Hartford County,2002,NA,latino,106655,NA,0.123,NA
2_counties,09003,Hartford County,2002,NA,asian,24846,NA,0.029,NA
2_counties,09003,Hartford County,2002,NA,other_race,10760,NA,0.012,NA
2_counties,09003,Hartford County,2003,NA,total_pop,873335,NA,NA,NA
2_counties,09003,Hartford County,2003,NA,white,621947,NA,0.712,NA
2_counties,09003,Hartford County,2003,NA,black,102690,NA,0.118,NA
2_counties,09003,Hartford County,2003,NA,latino,110627,NA,0.127,NA
2_counties,09003,Hartford County,2003,NA,asian,26810,NA,0.031,NA
2_counties,09003,Hartford County,2003,NA,other_race,11261,NA,0.013,NA
2_counties,09003,Hartford County,2004,NA,total_pop,874449,NA,NA,NA
2_counties,09003,Hartford County,2004,NA,white,617253,NA,0.706,NA
2_counties,09003,Hartford County,2004,NA,black,103835,NA,0.119,NA
2_counties,09003,Hartford County,2004,NA,latino,113322,NA,0.13,NA
2_counties,09003,Hartford County,2004,NA,asian,28391,NA,0.032,NA
2_counties,09003,Hartford County,2004,NA,other_race,11648,NA,0.013,NA
2_counties,09003,Hartford County,2005,NA,total_pop,878081,NA,NA,NA
2_counties,09003,Hartford County,2005,NA,white,614364,NA,0.7,NA
2_counties,09003,Hartford County,2005,NA,black,105366,NA,0.12,NA
2_counties,09003,Hartford County,2005,NA,latino,115949,NA,0.132,NA
2_counties,09003,Hartford County,2005,NA,asian,30248,NA,0.034,NA
2_counties,09003,Hartford County,2005,NA,other_race,12154,NA,0.014,NA
2_counties,09003,Hartford County,2006,NA,total_pop,881298,NA,NA,NA
2_counties,09003,Hartford County,2006,NA,white,609753,NA,0.692,NA
2_counties,09003,Hartford County,2006,NA,black,106713,NA,0.121,NA
2_counties,09003,Hartford County,2006,NA,latino,120119,NA,0.136,NA
2_counties,09003,Hartford County,2006,NA,asian,31969,NA,0.036,NA
2_counties,09003,Hartford County,2006,NA,other_race,12744,NA,0.014,NA
2_counties,09003,Hartford County,2007,NA,total_pop,884548,NA,NA,NA
2_counties,09003,Hartford County,2007,NA,white,605198,NA,0.684,NA
2_counties,09003,Hartford County,2007,NA,black,107898,NA,0.122,NA
2_counties,09003,Hartford County,2007,NA,latino,124384,NA,0.141,NA
