level,name,year,tenure,hhlds,value
3_towns,Cornwall,2000,renter,p2,21
3_towns,Cornwall,2000,renter,p3,20
3_towns,Cornwall,2000,renter,p4_or_more,26
3_towns,Coventry,2000,total,total,4261
3_towns,Coventry,2000,owner,total,3683
3_towns,Coventry,2000,owner,p1,564
3_towns,Coventry,2000,owner,p2,1340
3_towns,Coventry,2000,owner,p3,655
3_towns,Coventry,2000,owner,p4_or_more,1124
3_towns,Coventry,2000,renter,total,578
3_towns,Coventry,2000,renter,p1,227
3_towns,Coventry,2000,renter,p2,172
3_towns,Coventry,2000,renter,p3,88
3_towns,Coventry,2000,renter,p4_or_more,91
3_towns,Cromwell,2000,total,total,5212
3_towns,Cromwell,2000,owner,total,3969
3_towns,Cromwell,2000,owner,p1,970
3_towns,Cromwell,2000,owner,p2,1356
3_towns,Cromwell,2000,owner,p3,703
3_towns,Cromwell,2000,owner,p4_or_more,940
3_towns,Cromwell,2000,renter,total,1243
3_towns,Cromwell,2000,renter,p1,608
3_towns,Cromwell,2000,renter,p2,391
3_towns,Cromwell,2000,renter,p3,103
3_towns,Cromwell,2000,renter,p4_or_more,141
3_towns,Danbury,2000,total,total,27183
3_towns,Danbury,2000,owner,total,15849
3_towns,Danbury,2000,owner,p1,3431
3_towns,Danbury,2000,owner,p2,5452
3_towns,Danbury,2000,owner,p3,2732
3_towns,Danbury,2000,owner,p4_or_more,4234
3_towns,Danbury,2000,renter,total,11334
3_towns,Danbury,2000,renter,p1,3699
3_towns,Danbury,2000,renter,p2,2943
3_towns,Danbury,2000,renter,p3,1836
3_towns,Danbury,2000,renter,p4_or_more,2856
3_towns,Darien,2000,total,total,6592
3_towns,Darien,2000,owner,total,5799
3_towns,Darien,2000,owner,p1,730
3_towns,Darien,2000,owner,p2,1830
3_towns,Darien,2000,owner,p3,1020
3_towns,Darien,2000,owner,p4_or_more,2219
3_towns,Darien,2000,renter,total,793
3_towns,Darien,2000,renter,p1,297
3_towns,Darien,2000,renter,p2,216
3_towns,Darien,2000,renter,p3,98
3_towns,Darien,2000,renter,p4_or_more,182
3_towns,Deep River,2000,total,total,1824
3_towns,Deep River,2000,owner,total,1365
3_towns,Deep River,2000,owner,p1,245
3_towns,Deep River,2000,owner,p2,547
3_towns,Deep River,2000,owner,p3,246
3_towns,Deep River,2000,owner,p4_or_more,327
3_towns,Deep River,2000,renter,total,459
3_towns,Deep River,2000,renter,p1,192
3_towns,Deep River,2000,renter,p2,147
3_towns,Deep River,2000,renter,p3,58
3_towns,Deep River,2000,renter,p4_or_more,62
3_towns,Derby,2000,total,total,5252
3_towns,Derby,2000,owner,total,3056
3_towns,Derby,2000,owner,p1,811
3_towns,Derby,2000,owner,p2,1115
3_towns,Derby,2000,owner,p3,469
3_towns,Derby,2000,owner,p4_or_more,661
3_towns,Derby,2000,renter,total,2196
3_towns,Derby,2000,renter,p1,890
3_towns,Derby,2000,renter,p2,595
3_towns,Derby,2000,renter,p3,370
3_towns,Derby,2000,renter,p4_or_more,341
3_towns,Durham,2000,total,total,2277
3_towns,Durham,2000,owner,total,2072
3_towns,Durham,2000,owner,p1,254
3_towns,Durham,2000,owner,p2,714
3_towns,Durham,2000,owner,p3,406
3_towns,Durham,2000,owner,p4_or_more,698
3_towns,Durham,2000,renter,total,205
3_towns,Durham,2000,renter,p1,76
3_towns,Durham,2000,renter,p2,60
3_towns,Durham,2000,renter,p3,38
3_towns,Durham,2000,renter,p4_or_more,31
3_towns,East Granby,2000,total,total,1848
3_towns,East Granby,2000,owner,total,1514
3_towns,East Granby,2000,owner,p1,248
3_towns,East Granby,2000,owner,p2,547
3_towns,East Granby,2000,owner,p3,298
3_towns,East Granby,2000,owner,p4_or_more,421
3_towns,East Granby,2000,renter,total,334
3_towns,East Granby,2000,renter,p1,160
3_towns,East Granby,2000,renter,p2,102
3_towns,East Granby,2000,renter,p3,27
3_towns,East Granby,2000,renter,p4_or_more,45
3_towns,East Haddam,2000,total,total,3174
3_towns,East Haddam,2000,owner,total,2675
3_towns,East Haddam,2000,owner,p1,473
3_towns,East Haddam,2000,owner,p2,995
3_towns,East Haddam,2000,owner,p3,492
3_towns,East Haddam,2000,owner,p4_or_more,715
3_towns,East Haddam,2000,renter,total,499
3_towns,East Haddam,2000,renter,p1,206
3_towns,East Haddam,2000,renter,p2,143
3_towns,East Haddam,2000,renter,p3,67
3_towns,East Haddam,2000,renter,p4_or_more,83
3_towns,East Hampton,2000,total,total,4126
3_towns,East Hampton,2000,owner,total,3337
3_towns,East Hampton,2000,owner,p1,504
3_towns,East Hampton,2000,owner,p2,1201
3_towns,East Hampton,2000,owner,p3,647
3_towns,East Hampton,2000,owner,p4_or_more,985
3_towns,East Hampton,2000,renter,total,789
3_towns,East Hampton,2000,renter,p1,343
3_towns,East Hampton,2000,renter,p2,215
3_towns,East Hampton,2000,renter,p3,105
3_towns,East Hampton,2000,renter,p4_or_more,126
3_towns,East Hartford,2000,total,total,20206
3_towns,East Hartford,2000,owner,total,11626
3_towns,East Hartford,2000,owner,p1,2722
3_towns,East Hartford,2000,owner,p2,4341
3_towns,East Hartford,2000,owner,p3,1857
3_towns,East Hartford,2000,owner,p4_or_more,2706
3_towns,East Hartford,2000,renter,total,8580
3_towns,East Hartford,2000,renter,p1,3382
3_towns,East Hartford,2000,renter,p2,2225
3_towns,East Hartford,2000,renter,p3,1380
3_towns,East Hartford,2000,renter,p4_or_more,1593
3_towns,East Haven,2000,total,total,11219
3_towns,East Haven,2000,owner,total,8168
3_towns,East Haven,2000,owner,p1,1754
3_towns,East Haven,2000,owner,p2,2739
3_towns,East Haven,2000,owner,p3,1535
3_towns,East Haven,2000,owner,p4_or_more,2140
3_towns,East Haven,2000,renter,total,3051
3_towns,East Haven,2000,renter,p1,1361
3_towns,East Haven,2000,renter,p2,850
3_towns,East Haven,2000,renter,p3,414
3_towns,East Haven,2000,renter,p4_or_more,426
3_towns,East Lyme,2000,total,total,6308
3_towns,East Lyme,2000,owner,total,4954
3_towns,East Lyme,2000,owner,p1,915
3_towns,East Lyme,2000,owner,p2,1923
3_towns,East Lyme,2000,owner,p3,887
3_towns,East Lyme,2000,owner,p4_or_more,1229
3_towns,East Lyme,2000,renter,total,1354
3_towns,East Lyme,2000,renter,p1,553
3_towns,East Lyme,2000,renter,p2,399
3_towns,East Lyme,2000,renter,p3,188
3_towns,East Lyme,2000,renter,p4_or_more,214
3_towns,East Windsor,2000,total,total,4078
3_towns,East Windsor,2000,owner,total,2657
3_towns,East Windsor,2000,owner,p1,642
3_towns,East Windsor,2000,owner,p2,1003
3_towns,East Windsor,2000,owner,p3,427
3_towns,East Windsor,2000,owner,p4_or_more,585
3_towns,East Windsor,2000,renter,total,1421
3_towns,East Windsor,2000,renter,p1,582
3_towns,East Windsor,2000,renter,p2,422
3_towns,East Windsor,2000,renter,p3,213
3_towns,East Windsor,2000,renter,p4_or_more,204
3_towns,Eastford,2000,total,total,618
3_towns,Eastford,2000,owner,total,494
3_towns,Eastford,2000,owner,p1,82
3_towns,Eastford,2000,owner,p2,193
3_towns,Eastford,2000,owner,p3,79
3_towns,Eastford,2000,owner,p4_or_more,140
3_towns,Eastford,2000,renter,total,124
3_towns,Eastford,2000,renter,p1,53
3_towns,Eastford,2000,renter,p2,34
3_towns,Eastford,2000,renter,p3,17
3_towns,Eastford,2000,renter,p4_or_more,20
3_towns,Easton,2000,total,total,2465
3_towns,Easton,2000,owner,total,2324
3_towns,Easton,2000,owner,p1,264
3_towns,Easton,2000,owner,p2,784
3_towns,Easton,2000,owner,p3,447
3_towns,Easton,2000,owner,p4_or_more,829
3_towns,Easton,2000,renter,total,141
3_towns,Easton,2000,renter,p1,42
3_towns,Easton,2000,renter,p2,50
3_towns,Easton,2000,renter,p3,22
3_towns,Easton,2000,renter,p4_or_more,27
3_towns,Ellington,2000,total,total,5195
3_towns,Ellington,2000,owner,total,3572
