year,name,tenure,type,mkt,units,share
2018,New Haven County,For rent,Single family,Occupied,23832,0.956
2018,New Haven County,For rent,Single family,Vacant,1084,0.044
2018,New Haven County,For sale,Multifamily,Total,25568,NA
2018,New Haven County,For sale,Multifamily,Occupied,24564,0.961
2018,New Haven County,For sale,Multifamily,Vacant,1004,0.039
2018,New Haven County,For sale,Single family,Total,180688,NA
2018,New Haven County,For sale,Single family,Occupied,178064,0.985
2018,New Haven County,For sale,Single family,Vacant,2624,0.015
2018,New London County,For rent,Multifamily,Total,26757,NA
2018,New London County,For rent,Multifamily,Occupied,25164,0.94
2018,New London County,For rent,Multifamily,Vacant,1593,0.06
2018,New London County,For rent,Single family,Total,11241,NA
2018,New London County,For rent,Single family,Occupied,10908,0.97
2018,New London County,For rent,Single family,Vacant,333,0.03
2018,New London County,For sale,Multifamily,Total,5454,NA
2018,New London County,For sale,Multifamily,Occupied,5295,0.971
2018,New London County,For sale,Multifamily,Vacant,159,0.029
2018,New London County,For sale,Single family,Total,67729,NA
2018,New London County,For sale,Single family,Occupied,66035,0.975
2018,New London County,For sale,Single family,Vacant,1694,0.025
2018,Tolland County,For rent,Multifamily,Total,9886,NA
2018,Tolland County,For rent,Multifamily,Occupied,9329,0.944
2018,Tolland County,For rent,Multifamily,Vacant,557,0.056
2018,Tolland County,For rent,Single family,Total,4260,NA
2018,Tolland County,For rent,Single family,Occupied,4082,0.958
2018,Tolland County,For rent,Single family,Vacant,178,0.042
2018,Tolland County,For sale,Multifamily,Total,1769,NA
2018,Tolland County,For sale,Multifamily,Occupied,1769,1
2018,Tolland County,For sale,Multifamily,Vacant,0,0
2018,Tolland County,For sale,Single family,Total,29846,NA
2018,Tolland County,For sale,Single family,Occupied,29283,0.981
2018,Tolland County,For sale,Single family,Vacant,563,0.019
2018,Windham County,For rent,Multifamily,Total,12840,NA
2018,Windham County,For rent,Multifamily,Occupied,12133,0.945
2018,Windham County,For rent,Multifamily,Vacant,707,0.055
2018,Windham County,For rent,Single family,Total,3499,NA
2018,Windham County,For rent,Single family,Occupied,3370,0.963
2018,Windham County,For rent,Single family,Vacant,129,0.037
2018,Windham County,For sale,Multifamily,Total,1494,NA
2018,Windham County,For sale,Multifamily,Occupied,1402,0.938
2018,Windham County,For sale,Multifamily,Vacant,92,0.062
2018,Windham County,For sale,Single family,Total,38811,NA
2018,Windham County,For sale,Single family,Occupied,38313,0.987
2018,Windham County,For sale,Single family,Vacant,498,0.013
