"level","name","race2","inc_band","value","value_se","statefip.x","statefip.y","share","sharemoe"
"2_counties","Middlesex County","Other race","Very low",490,146.645506080946,NA,NA,0.179,0.049
"2_counties","Middlesex County","Other race","Low",256,149.349883853362,NA,NA,0.093,0.053
"2_counties","Middlesex County","Other race","Mid-low",616,150.076465298578,NA,NA,0.225,0.047
"2_counties","Middlesex County","Other race","Mid-high",310,100.502647511073,NA,NA,0.113,0.034
"2_counties","Middlesex County","Other race","High",1069,193.915831627809,NA,NA,0.39,0.052
"2_counties","New Haven County","White","Total",226283,2321.11493839345,NA,NA,NA,NA
"2_counties","New Haven County","White","Very low",25131,828.048927400206,NA,NA,0.111,0.003
"2_counties","New Haven County","White","Low",22990,781.124787115363,NA,NA,0.102,0.003
"2_counties","New Haven County","White","Mid-low",32923,963.8197982142,NA,NA,0.145,0.004
"2_counties","New Haven County","White","Mid-high",39027,1019.70234040717,NA,NA,0.172,0.004
"2_counties","New Haven County","White","High",106212,1623.27635980326,NA,NA,0.469,0.005
"2_counties","New Haven County","Black","Total",39815,1229.67790825722,NA,NA,NA,NA
"2_counties","New Haven County","Black","Very low",10314,610.243259668252,NA,NA,0.259,0.013
"2_counties","New Haven County","Black","Low",6747,526.431650740524,NA,NA,0.169,0.012
"2_counties","New Haven County","Black","Mid-low",7200,523.163229441878,NA,NA,0.181,0.012
"2_counties","New Haven County","Black","Mid-high",6360,522.173391259767,NA,NA,0.16,0.012
"2_counties","New Haven County","Black","High",9194,577.935720993809,NA,NA,0.231,0.013
"2_counties","New Haven County","Latino","Total",46620,1383.68603363947,NA,NA,NA,NA
"2_counties","New Haven County","Latino","Very low",11324,653.870120862694,NA,NA,0.243,0.012
"2_counties","New Haven County","Latino","Low",7103,523.165759254591,NA,NA,0.152,0.01
"2_counties","New Haven County","Latino","Mid-low",10845,733.510106010409,NA,NA,0.233,0.014
"2_counties","New Haven County","Latino","Mid-high",7555,568.231717707701,NA,NA,0.162,0.011
"2_counties","New Haven County","Latino","High",9793,613.865006999456,NA,NA,0.21,0.012
"2_counties","New Haven County","Other race","Total",17138,744.313492291633,NA,NA,NA,NA
"2_counties","New Haven County","Other race","Very low",2820,319.416389853827,NA,NA,0.165,0.017
"2_counties","New Haven County","Other race","Low",1652,241.851568545408,NA,NA,0.096,0.013
"2_counties","New Haven County","Other race","Mid-low",2430,277.934298080497,NA,NA,0.142,0.015
"2_counties","New Haven County","Other race","Mid-high",2651,308.669447556887,NA,NA,0.155,0.017
"2_counties","New Haven County","Other race","High",7585,473.254109602574,NA,NA,0.443,0.02
"2_counties","New London County","White","Total",87282,1438.14323539349,NA,NA,NA,NA
"2_counties","New London County","White","Very low",10369,543.375224326967,NA,NA,0.119,0.006
"2_counties","New London County","White","Low",8553,468.267196165154,NA,NA,0.098,0.005
"2_counties","New London County","White","Mid-low",14806,640.32760693125,NA,NA,0.17,0.007
"2_counties","New London County","White","Mid-high",17069,664.571597379553,NA,NA,0.196,0.007
"2_counties","New London County","White","High",36485,883.908053021211,NA,NA,0.418,0.007
"2_counties","New London County","Black","Total",4750,459.348972210139,NA,NA,NA,NA
"2_counties","New London County","Black","Very low",1374,276.297569059611,NA,NA,0.289,0.051
"2_counties","New London County","Black","Low",771,177.316178909398,NA,NA,0.162,0.034
"2_counties","New London County","Black","Mid-low",472,132.925149418906,NA,NA,0.099,0.026
"2_counties","New London County","Black","Mid-high",753,169.030692872222,NA,NA,0.159,0.032
"2_counties","New London County","Black","High",1380,239.219234151879,NA,NA,0.291,0.042
"2_counties","New London County","Latino","Total",8720,635.675180518422,NA,NA,NA,NA
"2_counties","New London County","Latino","Very low",2006,298.580437576302,NA,NA,0.23,0.03
"2_counties","New London County","Latino","Low",1574,293.087244115486,NA,NA,0.181,0.031
"2_counties","New London County","Latino","Mid-low",1938,298.489656149486,NA,NA,0.222,0.03
"2_counties","New London County","Latino","Mid-high",1263,247.966290823717,NA,NA,0.145,0.026
"2_counties","New London County","Latino","High",1939,281.611223625435,NA,NA,0.222,0.028
"2_counties","New London County","Other race","Total",6650,487.320350383648,NA,NA,NA,NA
"2_counties","New London County","Other race","Very low",875,196.536777491453,NA,NA,0.132,0.028
"2_counties","New London County","Other race","Low",666,161.666597899542,NA,NA,0.1,0.023
"2_counties","New London County","Other race","Mid-low",1168,220.21209733172,NA,NA,0.176,0.031
"2_counties","New London County","Other race","Mid-high",1453,234.67825393906,NA,NA,0.218,0.031
"2_counties","New London County","Other race","High",2488,263.862325305348,NA,NA,0.374,0.029
"2_counties","Tolland County","White","Total",48703,1178.86590024091,NA,NA,NA,NA
"2_counties","Tolland County","White","Very low",6519,482.301238688918,NA,NA,0.134,0.009
"2_counties","Tolland County","White","Low",5632,420.703368851218,NA,NA,0.116,0.008
"2_counties","Tolland County","White","Mid-low",7534,487.608005215332,NA,NA,0.155,0.009
"2_counties","Tolland County","White","Mid-high",9391,497.392826507983,NA,NA,0.193,0.009
"2_counties","Tolland County","White","High",19627,721.10279316322,NA,NA,0.403,0.011
"2_counties","Tolland County","Black","Total",1657,328.151860451763,NA,NA,NA,NA
"2_counties","Tolland County","Black","Very low",490,169.396004301942,NA,NA,0.296,0.084
"2_counties","Tolland County","Black","Low",423,177.569458751708,NA,NA,0.255,0.094
"2_counties","Tolland County","Black","Mid-low",181,121.213630148271,NA,NA,0.109,0.07
"2_counties","Tolland County","Black","Mid-high",235,132.387560395174,NA,NA,0.142,0.075
"2_counties","Tolland County","Black","High",328,123.566551760395,NA,NA,0.198,0.063
"2_counties","Tolland County","Latino","Total",2218,359.608350058492,NA,NA,NA,NA
"2_counties","Tolland County","Latino","Very low",368,129.46165297941,NA,NA,0.166,0.052
"2_counties","Tolland County","Latino","Low",319,125.65740150628,NA,NA,0.144,0.052
"2_counties","Tolland County","Latino","Mid-low",263,102.918270913685,NA,NA,0.119,0.042
"2_counties","Tolland County","Latino","Mid-high",669,224.849678659815,NA,NA,0.302,0.089
"2_counties","Tolland County","Latino","High",599,188.871448728824,NA,NA,0.27,0.073
"2_counties","Tolland County","Other race","Total",2640,303.474227917046,NA,NA,NA,NA
"2_counties","Tolland County","Other race","Very low",662,145.643724104422,NA,NA,0.251,0.047
"2_counties","Tolland County","Other race","Low",282,103.174728485782,NA,NA,0.107,0.037
"2_counties","Tolland County","Other race","Mid-low",288,88.3342284743526,NA,NA,0.109,0.031
"2_counties","Tolland County","Other race","Mid-high",654,177.551089808618,NA,NA,0.248,0.061
"2_counties","Tolland County","Other race","High",754,144.873208035498,NA,NA,0.286,0.044
"2_counties","Windham County","White","Total",38925,1025.25002806081,NA,NA,NA,NA
"2_counties","Windham County","White","Very low",4689,358.74150357591,NA,NA,0.12,0.009
"2_counties","Windham County","White","Low",3670,322.106713462986,NA,NA,0.094,0.008
"2_counties","Windham County","White","Mid-low",6570,452.832906844173,NA,NA,0.169,0.011
"2_counties","Windham County","White","Mid-high",7723,449.861346509884,NA,NA,0.198,0.01
"2_counties","Windham County","White","High",16273,653.456226053577,NA,NA,0.418,0.013
"2_counties","Windham County","Black","Total",545,143.767473711141,NA,NA,NA,NA
"2_counties","Windham County","Black","Very low",92,42.236304319096,NA,NA,0.169,0.063
"2_counties","Windham County","Black","Low",125,91.5253918805944,NA,NA,0.229,0.157
"2_counties","Windham County","Black","Mid-low",203,87.7982095290977,NA,NA,0.372,0.128
"2_counties","Windham County","Black","Mid-high",38,26.9070586252941,NA,NA,0.07,0.046
"2_counties","Windham County","Black","High",87,45.5951999061054,NA,NA,0.16,0.072
"2_counties","Windham County","Latino","Total",3767,389.741197452222,NA,NA,NA,NA
"2_counties","Windham County","Latino","Very low",1041,205.927789303803,NA,NA,0.276,0.047
"2_counties","Windham County","Latino","Low",551,154.405434787993,NA,NA,0.146,0.038
"2_counties","Windham County","Latino","Mid-low",710,173.940477863468,NA,NA,0.188,0.042
"2_counties","Windham County","Latino","Mid-high",750,186.891757468497,NA,NA,0.199,0.045
"2_counties","Windham County","Latino","High",715,143.617730732796,NA,NA,0.19,0.033
"2_counties","Windham County","Other race","Total",1226,202.507519693286,NA,NA,NA,NA
"2_counties","Windham County","Other race","Very low",225,84.5362898115962,NA,NA,0.184,0.062
"2_counties","Windham County","Other race","Low",280,119.979555009754,NA,NA,0.228,0.09
"2_counties","Windham County","Other race","Mid-low",222,81.4333837708613,NA,NA,0.181,0.059
"2_counties","Windham County","Other race","Mid-high",108,50.4169695701674,NA,NA,0.088,0.038
"2_counties","Windham County","Other race","High",391,101.543001000482,NA,NA,0.319,0.064
