"hhwt","name","minc","inc_band","hcost","cost_band"
11,"Fairfield County",95645,"Mid-low",1676,"Mid-low"
15,"Fairfield County",95645,"High",2765,"Mid-high"
13,"Fairfield County",95645,"Mid-low",2247,"Mid-high"
12,"Hartford County",75148,"Mid-high",2531,"High"
13,"New Haven County",69905,"Mid-high",847,"Low"
7,"New London County",73490,"Mid-high",2074,"Mid-high"
13,"Tolland County",87069,"High",1828,"Mid-high"
13,"Tolland County",87069,"Mid-high",1762,"Mid-high"
23,"Fairfield County",95645,"High",2668,"Mid-high"
15,"Fairfield County",95645,"High",4151,"High"
6,"Litchfield County",79906,"High",2594,"High"
12,"Hartford County",75148,"Mid-high",1612,"Mid-high"
22,"Hartford County",75148,"Mid-low",1215,"Mid-low"
11,"Fairfield County",95645,"Very low",1257,"Mid-low"
14,"New Haven County",69905,"Mid-high",2693,"High"
11,"Fairfield County",95645,"High",4812,"High"
13,"Fairfield County",95645,"High",3071,"High"
29,"Litchfield County",79906,"Low",377,"Very low"
21,"Hartford County",75148,"Mid-low",1098,"Mid-low"
18,"Fairfield County",95645,"High",2611,"Mid-high"
14,"Tolland County",87069,"High",1068,"Low"
21,"New Haven County",69905,"High",804,"Low"
20,"New Haven County",69905,"High",1641,"Mid-high"
25,"Hartford County",75148,"High",2692,"High"
14,"Hartford County",75148,"High",2535,"High"
13,"Hartford County",75148,"High",3223,"High"
26,"Fairfield County",95645,"Mid-low",1885,"Mid-low"
17,"New Haven County",69905,"High",1108,"Mid-low"
38,"New Haven County",69905,"Mid-low",1744,"Mid-high"
12,"Hartford County",75148,"Very low",827,"Low"
14,"New Haven County",69905,"High",4189,"High"
24,"New London County",73490,"High",2000,"Mid-high"
7,"Fairfield County",95645,"Low",2114,"Mid-high"
13,"Hartford County",75148,"High",1671,"Mid-high"
24,"New Haven County",69905,"High",1659,"Mid-high"
21,"Litchfield County",79906,"Mid-high",1200,"Mid-low"
23,"New Haven County",69905,"High",2690,"High"
36,"Fairfield County",95645,"High",2084,"Mid-high"
17,"New Haven County",69905,"Mid-high",2285,"High"
13,"New Haven County",69905,"Mid-low",919,"Mid-low"
12,"Fairfield County",95645,"Low",1198,"Mid-low"
13,"Fairfield County",95645,"Mid-high",2048,"Mid-high"
12,"Hartford County",75148,"High",2660,"High"
23,"Fairfield County",95645,"High",961,"Low"
11,"Hartford County",75148,"High",1294,"Mid-low"
9,"Fairfield County",95645,"High",3491,"High"
22,"New Haven County",69905,"High",4793,"High"
14,"Fairfield County",95645,"Mid-high",1358,"Mid-low"
11,"Hartford County",75148,"High",924,"Low"
38,"Hartford County",75148,"High",2155,"Mid-high"
19,"Hartford County",75148,"Mid-high",1422,"Mid-low"
15,"Fairfield County",95645,"Mid-high",2139,"Mid-high"
48,"New Haven County",69905,"High",2830,"High"
22,"Tolland County",87069,"High",2191,"Mid-high"
12,"Fairfield County",95645,"Mid-high",1024,"Low"
5,"Windham County",66550,"High",1946,"Mid-high"
11,"Windham County",66550,"High",817,"Low"
9,"Hartford County",75148,"High",3278,"High"
15,"Hartford County",75148,"Mid-high",2616,"High"
18,"New Haven County",69905,"High",936,"Mid-low"
10,"Hartford County",75148,"Low",2140,"Mid-high"
12,"Fairfield County",95645,"Low",1606,"Mid-low"
42,"New London County",73490,"High",1564,"Mid-high"
50,"New Haven County",69905,"Very low",1447,"Mid-high"
13,"Fairfield County",95645,"High",1925,"Mid-high"
16,"Windham County",66550,"High",1317,"Mid-low"
19,"Middlesex County",85898,"Mid-high",1071,"Low"
13,"Litchfield County",79906,"High",1340,"Mid-low"
14,"Fairfield County",95645,"Very low",7245,"High"
14,"New Haven County",69905,"High",3079,"High"
15,"Fairfield County",95645,"High",3626,"High"
13,"New London County",73490,"High",1337,"Mid-low"
14,"Hartford County",75148,"High",1255,"Mid-low"
14,"Hartford County",75148,"Mid-high",1182,"Mid-low"
7,"New Haven County",69905,"High",818,"Low"
13,"New Haven County",69905,"High",1938,"Mid-high"
23,"New Haven County",69905,"High",2057,"Mid-high"
