County,City,CityOld,ProjectID,SubsidyClass,SubsidySubclass,EndDateList,Total,UnitLower,UnitUpper,ProjectName,Latitude,Longitude,RowID,Clean_Proj,Group Flag,ProjectID2
fairfield,stamford,Stamford,9db7e43e-e2b7-40f0-a746-38f59863ae10,Section_8_Voucher,Section_8.Project_Based_Voucher,(),15,1.0,15.0,Greenfield,41.0543571,-73.55501319999998,691,greenfield,stamford676,b7704786-63ee-4d67-9473-056f651924cf
fairfield,stamford,Stamford,86716c3e-531c-4fa1-911b-752cb414fad1,State_Subsidy,CT.TCAP/Exchange (Tax Credit Assistance Program),nan,95,95.0,95.0,Westwood (fka 58 Progress Dr. or Vidal Court),41.054381400000004,-73.5597761,692,westwood,stamford689,88b6bdd4-6cb4-4176-855e-9deeb80c3593
fairfield,stamford,Stamford,f3d2c849-1b6a-4271-9a41-4729e24fbf65,HOME_Investment_Partnerships_Program,HOME,"('2032-07-31',)",95,10.0,10.0,WESTWOOD APARTMENTS,41.054381400000004,-73.5597761,693,westwood,stamford689,88b6bdd4-6cb4-4176-855e-9deeb80c3593
fairfield,stamford,Stamford,f3d2c849-1b6a-4271-9a41-4729e24fbf65,FHA_HUD_Multifamily_Mortgages,223(A)(7)/221(D)(4) MKT REFI/ MODERATE,"('2057-03-01',)",95,95.0,95.0,WESTWOOD APARTMENTS,41.054381400000004,-73.5597761,694,westwood,stamford689,88b6bdd4-6cb4-4176-855e-9deeb80c3593
fairfield,stamford,Stamford,bdabcbed-9403-411b-b6d7-adcc62987d6b,Deed,99 years,(),57,57.0,57.0,bdabcbed-9403-411b-b6d7-adcc62987d6b,41.054381400000004,-73.5597761,695,bdabcbed9403411bb6d7adcc62987d6b,,8d4a0b94-6ead-48ef-83b6-e202992a36ad
fairfield,stamford,Stamford,c4834720-1415-4dbf-83ce-1cd4b6325403,State_Subsidy,CT.Moderate Rental,nan,168,1.0,168.0,Oak Park,41.0544146,-73.5184234,696,oak park,,927fe0ad-1d8f-40c6-9939-d3b742b8c846
fairfield,stamford,Stamford,fc245290-b74f-4896-a28c-6124a6bc5cb7,Deed,30 years,(),1,1.0,1.0,fc245290-b74f-4896-a28c-6124a6bc5cb7,41.0544248,-73.54694959999998,697,fc245290b74f4896a28c6124a6bc5cb7,,0e545eae-5015-4039-9776-8425ad2b164c
fairfield,stamford,Stamford,f3d2e0b6-445a-4516-b6be-c85e196bc263,Deed,30 years,(),1,1.0,1.0,f3d2e0b6-445a-4516-b6be-c85e196bc263,41.0554613,-73.5664063,698,f3d2e0b6445a4516b6bec85e196bc263,,33775e49-9413-49cc-8dd0-e02a0781299a
fairfield,stamford,Stamford,649b90bc-f433-428c-9079-0f81922bddff,Deed,"98 years, 6 months",(),420,420.0,420.0,Rippowam Park Apartments,41.05559969999999,-73.5639678,699,rippowam park ,stamford699,7d2ffd0d-fc96-4bc2-8b54-5e42bdb109f7
fairfield,stamford,Stamford,656fe70c-4879-4394-936f-2f902c49e069,State_Subsidy,CT.Elderly,nan,100,1.0,100.0,Mapleview Towers Elderly,41.0557065,-73.53313320000001,700,mapleview towers elderly,stamford700,ad173af5-17e7-452f-a117-42257463d4b2
fairfield,stamford,Stamford,7016630a-055f-4da5-9091-083a8b50d048,Section_8_NonVoucher,HFDA/8 NC,"('2020-04-21',)",101,100.0,100.0,MAPLEVIEW TOWER/STAMFORD ELDERLY,41.0557065,-73.53313320000001,701,mapleview towers elderly,stamford700,ad173af5-17e7-452f-a117-42257463d4b2
fairfield,stamford,Stamford,4455b36a-b1e7-4751-9fb1-e8864805bc23,Deed,99 years,(),18,18.0,18.0,Mill River House Condominiums,41.055765799999996,-73.54610190000001,702,mill river house condominiums,,09d43c17-4311-4022-9d41-6b5232921269
